seed,auc_ecfp,auc_kg,acc_ecfp,acc_kg,auc_kg_permuted,auc_random
42,0.957492910315491,0.6104144511402576,0.8807890222984562,0.5771869639794168,0.5352505021859861,0.4939693371144984
123,0.9550026586316908,0.6266129032258065,0.8807890222984562,0.5883361921097771,0.4959071842136358,0.5039067115680019
456,0.9584160463192721,0.6132961124896609,0.8816466552315609,0.5711835334476844,0.49543306156209377,0.49739601796053406
789,0.9551991019732955,0.6408055654023396,0.8782161234991424,0.5960548885077187,0.5106581590452558,0.5088635826539053
101112,0.9552995391705069,0.6291533735082122,0.869639794168096,0.5951972555746141,0.48582210799952735,0.5156622946945528
131415,0.9523528890464376,0.6157272834692189,0.8687821612349914,0.5668953687821612,0.4699545078577336,0.483531253692544
161718,0.957318622237977,0.6239114380243412,0.8799313893653516,0.5849056603773585,0.5101810823585018,0.5264622474299894
192021,0.9548726810823586,0.6299332388042066,0.869639794168096,0.5780445969125214,0.48538195675292456,0.5314826302729528
222324,0.9560350939383198,0.5973251211154437,0.8765008576329331,0.5557461406518011,0.4774119697506794,0.5031800189058254
252627,0.9550351530190239,0.6035285950608531,0.8816466552315609,0.5660377358490566,0.48883670093347514,0.5075948245303084
