seed,auc_ecfp,auc_kg,acc_ecfp,acc_kg
42,0.957492910315491,0.9978937728937729,0.8807890222984562,0.9982847341337907
123,0.9550026586316908,0.9976544960415927,0.8807890222984562,0.9982847341337907
456,0.9584160463192721,0.9973797707668676,0.8816466552315609,0.9931389365351629
789,0.9551991019732955,0.9979823939501359,0.8782161234991424,0.9965694682675815
101112,0.9552995391705069,0.9975776911260783,0.869639794168096,0.9982847341337907
131415,0.9523528890464376,0.9971980976013234,0.8687821612349914,0.9982847341337907
161718,0.957318622237977,0.9970725511048092,0.8799313893653516,0.9982847341337907
192021,0.9548726810823586,0.9978332151719249,0.869639794168096,0.9982847341337907
222324,0.9560350939383198,0.9977401630627437,0.8765008576329331,0.9982847341337907
252627,0.9550351530190239,0.9977726574500768,0.8816466552315609,0.9948542024013722
